Subject,Controlled Vocabulary,Reference,Type
Nutrition,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85093451,Topic
Union Square,wikidata,http://www.wikidata.org/entity/Q110007,Places
"Cooking, French",LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85031818,Topic
Corn,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85032625,Topic
Feminism,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85047741,Topic
Food writing,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh96003769,Topic
Gastronomy,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85053492,Topic
Authors and publishers,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85010023,Topic
Authorship,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85010030,Topic
Blogs,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh2003004628,Topic
"Cooking, American -- History -- 20th century",Local,,Topic
"Cooking, American -- Midwestern style",LC Subject Headings,http://id.loc.gov/authorities/subjects/sh90002574,Topic
Cooking -- Study and teaching,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh89004700,Topic
Dinners and dining,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85038076,Topic
Entertaining,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85044107,Topic
Food habits,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85050275,Topic
Marriage,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85081416,Topic
Menus,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85083733,Topic
Sex roles,wikidata,https://www.wikidata.org/entity/Q7458428,Topic
Universities and colleges -- Faculty,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85141120,Topic
Book collecting,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85015610,Topic
Cookbooks,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh2010007517,Topic
"Cooking, Jewish -- History -- 20th century",Local,,Topic
Concentration camp inmates' writings,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh2021004047,Topic
International cooking,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85031838,Topic
Israel -- Politics and government -- 1948-1967,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh96011901,Topic
Publishers and publishing,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85108871,Topic
Agricultural processing industries,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85002398,Topic
Agriculture and state,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85002484,Topic
Pet food industry,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85100302,Topic
Diet,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85037853,Topic
Editing,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85040970,Topic
Children -- Nutrition,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85023463,Topic
Public Health,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85108638,Topic
Women in higher education,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh2002002425,Topic
Urban agriculture,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85141304,Topic
Food industry and trade,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85050282,Topic
Food adulteration and inspection,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85050256,Topic
Farm produce -- Marketing -- Government policy,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh95009231,Topic
Health,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85059518,Topic
Junk food,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85050246,Topic
Food security,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh2009007706,Topic
Television cooking shows,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh2007007146,Topic
Restaurant management,LC Subject Headings,https://id.loc.gov/authorities/subjects/sh85113248.html,Topic
Restaurants -- New York (State) -- New York,LC Subject Headings,geo subdiv of http://id.loc.gov/authorities/subjects/sh85113249,Topic
School children -- Food,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh85118299,Topic
Cooking,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh2010008400,Topic
Local foods,LC Subject Headings,http://id.loc.gov/authorities/subjects/sh2007000754,Topic
Cooking--Equipment and supplies,LC Subject Headings,https://id.loc.gov/authorities/subjects/sh99002461.html,Topic
Cooking -- Periodicals,LC Subject Headings,https://id.loc.gov/authorities/subjects/sh2008101726.html,Topic
Homosexuality,LC Subject Headings,https://id.loc.gov/authorities/subjects/sh85061780.html,Topic
Microwave cooking,LC Subject Headings,https://id.loc.gov/authorities/subjects/sh85084956.html,Topic
Celiac disease,LC Subject Headings,https://id.loc.gov/authorities/subjects/sh85021632.html,Topic
Journalism,LC Subject Headings,https://id.loc.gov/authorities/subjects/sh85070736.html,Topic
Wine,LC Subject Headings,https://id.loc.gov/authorities/subjects/sh85146968.html,Topic
American Dietetic Association,LC Name Authority File,http://id.loc.gov/authorities/names/n79113794,Organizations
Brandeis University,LC Name Authority File,http://id.loc.gov/authorities/names/n80072552,Organizations
Dames d'Escoffier of New York,LC Name Authority File,http://id.loc.gov/authorities/names/n88610829,Organizations
Fales Library,LC Name Authority File,http://id.loc.gov/authorities/names/n50071701,Organizations
Monsanto Agricultural Company,LC Name Authority File,http://id.loc.gov/authorities/names/no93009934,Organizations
New York University,LC Name Authority File,http://id.loc.gov/authorities/names/n79058487,Organizations
"Newsweek, inc.",LC Name Authority File,http://id.loc.gov/authorities/names/n79110561,Organizations
"University of California School of Medicine, San Francisco",LC Name Authority File,http://id.loc.gov/authorities/names/n79018630,Organizations
"University of California, Berkeley",LC Name Authority File,http://id.loc.gov/authorities/names/n79046084,Organizations
United States. Department of Agriculture,LC Name Authority File,http://id.loc.gov/authorities/names/n79008243,Organizations
United States. Department of Health and Human Services,LC Name Authority File,http://id.loc.gov/authorities/names/n80102594,Organizations
Food Research and Action Center,LC Name Authority File,http://id.loc.gov/authorities/names/n78070192,Organizations
Gramercy Tavern,LC Name Authority File,http://id.loc.gov/authorities/names/n2001002086,Organizations
Mondrian (Restaurant),Local,,Organizations
Top Chef (Television Program),LC Name Authority File,http://id.loc.gov/authorities/names/n2010000912,Organizations
Colicchio & Sons (Restaurant),Local,,Organizations
Craft (Restaurant),LC Name Authority File,http://id.loc.gov/authorities/names/n2005002423,Organizations
"Lee, Philip R. (Philip Randolph), 1924-",LC Name Authority File,http://id.loc.gov/authorities/names/n80062918,People
"Koop, C. Everett (Charles Everett), 1916-2013",LC Name Authority File,http://id.loc.gov/authorities/names/n80046379,People
"Gussow, Joan Dye",LC Name Authority File,http://id.loc.gov/authorities/names/n86137543,People
"Burros, Marian Fox",LC Name Authority File,http://id.loc.gov/authorities/names/n50000926,People
"Brody, Jane E.",LC Name Authority File,http://id.loc.gov/authorities/names/n80138520,People
"Berg, Jennifer",LC Name Authority File,http://id.loc.gov/authorities/names/no2002115056,People
"Bentley, Amy, 1962-",LC Name Authority File,http://id.loc.gov/authorities/names/n97125480,People
"Wolf, Clark",LC Name Authority File,http://id.loc.gov/authorities/names/n2008027081,People
"Ray, Krishnedu",Local,,People
"Taylor, Marvin J.",LC Name Authority File,http://id.loc.gov/authorities/names/nr99037012,People
"Petrick, Gabriella M.",LC Name Authority File,http://id.loc.gov/authorities/names/nr98029283,People
"Pollan, Michael",LC Name Authority File,http://id.loc.gov/authorities/names/n85346809,People
"McGinnis, J. Michael",LC Name Authority File,http://id.loc.gov/authorities/names/n86085997,People
"Nestle, Marion",LC Name Authority File,http://id.loc.gov/authorities/names/n85111906,People
"Bryan, Jerry",Local,,People
"Bras, Michel",LC Name Authority File,http://id.loc.gov/authorities/names/nr2006013374,People
"Silverbush, Lori",LC Name Authority File,http://id.loc.gov/authorities/names/n00000138,People
"Portale, Alfred",LC Name Authority File,http://id.loc.gov/authorities/names/n97021015,People
"Meyer, Danny",LC Name Authority File,http://id.loc.gov/authorities/names/n94004573,People
"Keller, Thomas, 1955-",LC Name Authority File,http://id.loc.gov/authorities/names/no2009197640,People
"Colicchio, Tom",LC Name Authority File,http://id.loc.gov/authorities/names/n00000137,People
"Wine, Barry",LC Name Authority File,http://id.loc.gov/authorities/names/no2009167568,People
"Avigur, Shaoul",LC Name Authority File,http://id.loc.gov/authorities/names/n83052946,People
"Ben-Gurion, David, 1886-1973",LC Name Authority File,http://id.loc.gov/authorities/names/n50007677,People
"Brown, Bianca",Local,,People
"Carmel, Dalia",wikidata,https://www.wikidata.org/entity/Q55439898,People
"Eshkol, Levi, 1895-1969",LC Name Authority File,http://id.loc.gov/authorities/names/n50012181,People
"Gibli, Binyamin",wikidata,https://www.wikidata.org/entity/Q2657619,People
"Goldstein, Herbert",Local,,People
"Hausner,Gideon, 1915-1990",LC Name Authority File,http://id.loc.gov/authorities/names/n85171077,People
"Lavon, Pinchas",LC Subject Headings,https://www.wikidata.org/entity/Q662218,People
"Pachter, Mina",LC Name Authority File,http://id.loc.gov/authorities/names/no2008185967,People
"Peer, Edith",Local,,People
"Stern, Annie",Local,,People
"Taube, Judith",Local,,People
"Taylor, Marvin J.",LC Name Authority File,http://id.loc.gov/authorities/names/nr99037012,People
Dial Publishing Company,LC Name Authority File,https://id.loc.gov/authorities/names/nr94019526.html,Organizations
"El al, netive aṿir le-Yiśrael (El Al Israel Airlines)",LC Name Authority File,http://id.loc.gov/authorities/names/n81058962,Organizations
"Farrar, Straus, and Company",LC Name Authority File,https://id.loc.gov/authorities/names/n96043224.html,Organizations
"Yad ṿa-shem, rashut ha-zikaron la-Shoah ṿela-gevurah",LC Name Authority File,http://id.loc.gov/authorities/names/n2004050604,Organizations
Four Seasons (Restaurant),LC Name Authority File,https://id.loc.gov/authorities/names/n80096080.html,Organizations
